OBJECTID,NOMBRE_DPT,Tendencia,Filiacion,CAPITAL,CAPITALES,VIGENCIA,Shape__Area,Shape__Length
1,CARTAGENA,Federalista,Provincias Unidas de la Nueva Granada,,Cartagena,(1811-1816),67341064697.792,1720813.00198172
2,CUNDINAMARCA,Centralista,Estado Libre de Cundinamarca,,Santa Fe,(1812-1816),208782934286.528,3297286.76521327
3,POPAYÁN,Federalista,Provincias Unidas de la Nueva Granada,,Popayán,(1814-1816),670436431930.339,5821652.39574315
4,SANTA MARTA,Realista,Consejo de Regencia de España e Indias.,,Santa Marta,Corona,50591373236.9063,1418014.86030641
5,CHOCO,Centralista,Estado Libre de Cundinamarca,,Quibdó,(1813-1816),43286865376.8538,1727809.86153188
6,RIOACHA,Realista,Consejo de Regencia de España e Indias.,,Rioacha,Corona,21991056978.6797,957983.032421711
7,SOCORRO,Federalista,Provincias Unidas de la Nueva Granada,,Socorro,(1812-1816),20810575897.0073,748407.728022438
12,CASANARE,Federalista,Provincias Unidas de la Nueva Granada,,Póre,(1813-1816),82840832509.6116,1443997.56545198
13,PAMPLONA,Federalista,Provincias Unidas de la Nueva Granada,,Pamplona,(1811-1816),26958017216.7861,966295.116850523
14,TUNJA,Federalista,Provincias Unidas de la Nueva Granada,,Tunja,(1811-1816),19502675533.5874,1060151.13320804
15,ANTIOQUIA,Federalista,Provincias Unidas de la Nueva Granada,,Santa Fe de Antioquia,(1811-1816),72546578629.2354,2020705.07442607
16,MARIQUITA,Centralista,Estado Libre de Cundinamarca,,Mariquita,(1814-1816),19704851916.9937,889980.596913576
17,NEIVA,Federalista,Provincias Unidas de la Nueva Granada,,Neiva,(1811-1816),34671884433.8634,977523.33467405
18,VALLE DEL CAUCA,Federalista,Provincias Unidas de la Nueva Granada,,Cali,(1811-1816),30844750203.7651,1256810.96208226
19,PANAMÁ,Realista,Consejo de Regencia de España e Indias.,,Panamá,Corona,185323361453.487,3999514.54139446
21,VARAGUAS,Realista,Consejo de Regencia de España e Indias.,,Varaguas,Corona,35127730326.7197,1404453.11270611
